id,organ_id,frequency,"name","created_at","updated_at","deleted_at"
109,14,11737,"хепар",NULL,"2020-05-17 10:51:55",NULL
110,1,11690,"перкуторен",NULL,"2020-05-17 10:52:46",NULL
111,NULL,11186,"рен",NULL,NULL,NULL
112,NULL,11120,"палпира",NULL,NULL,NULL
113,NULL,11069,"др",NULL,NULL,NULL
114,NULL,11037,"жл",NULL,NULL,NULL
115,NULL,10857,"а",NULL,NULL,NULL
116,4,10790,"нормофреквентна",NULL,"2020-05-17 10:53:44",NULL
117,NULL,10741,"промени",NULL,NULL,NULL
118,NULL,10706,"запазена",NULL,NULL,NULL
119,NULL,10689,"см",NULL,NULL,NULL
120,NULL,10594,"спец",NULL,NULL,NULL
121,NULL,10535,"r",NULL,NULL,NULL
122,NULL,10260,"особености",NULL,NULL,NULL
123,NULL,10118,"бо",NULL,NULL,NULL
124,2,10049,"органомегалия",NULL,"2020-05-17 10:55:09",NULL
125,14,10026,"дъга",NULL,"2020-05-17 10:56:32",NULL
126,11,9967,"щитовидна",NULL,"2020-05-17 10:56:43",NULL
127,NULL,9711,"неув",NULL,NULL,NULL
128,NULL,9695,"патологични",NULL,NULL,NULL
129,NULL,9672,"система",NULL,NULL,NULL
130,1,9587,"везик",NULL,"2020-05-17 10:59:44",NULL
131,NULL,9553,"палпация",NULL,NULL,NULL
132,NULL,9393,"отклонения",NULL,NULL,NULL
133,NULL,9305,"чвд",NULL,NULL,NULL
134,NULL,9280,"дс",NULL,NULL,NULL
135,NULL,9200,"екг",NULL,NULL,NULL
136,NULL,9177,"нормално",NULL,NULL,NULL
137,NULL,9167,"ма",NULL,NULL,NULL
138,NULL,9032,"неврологичен",NULL,NULL,NULL
139,2,8951,"перисталтика",NULL,"2020-05-17 11:00:44",NULL
140,NULL,8667,"от",NULL,NULL,NULL
141,NULL,8639,"л",NULL,NULL,NULL
142,NULL,8634,"със",NULL,NULL,NULL
143,2,8631,"меко",NULL,"2020-05-17 11:04:40",NULL
144,17,8486,"сукусио",NULL,"2020-05-17 11:02:23",NULL
145,2,8482,"палпаторна",NULL,"2020-05-17 11:03:44",NULL
146,2,8480,"еластични",NULL,"2020-05-17 11:04:28",NULL
147,NULL,8401,"рефлекси",NULL,NULL,NULL
148,NULL,8274,"палп",NULL,NULL,NULL
149,NULL,8187,"спокойно",NULL,NULL,NULL
150,20,8073,"зрение",NULL,"2020-05-17 11:06:18",NULL
151,NULL,7937,"цикатрикс",NULL,NULL,NULL
152,NULL,7931,"ет",NULL,NULL,NULL
153,NULL,7825,"нормална",NULL,NULL,NULL
154,NULL,7711,"жлези",NULL,NULL,NULL
155,1,7644,"отслабено",NULL,"2020-05-17 11:08:29",NULL
156,21,7602,"чмн",NULL,"2020-05-17 11:12:08",NULL
157,22,7601,"мл",NULL,"2020-05-17 11:12:59",NULL
158,NULL,7491,"чисти",NULL,NULL,NULL
159,NULL,7477,"болка",NULL,NULL,NULL
160,3,7474,"долни",NULL,"2020-05-17 11:13:30",NULL
161,NULL,7432,"нормални",NULL,NULL,NULL
162,6,7401,"лиен",NULL,"2020-05-17 11:14:33",NULL
163,1,7363,"хрипова",NULL,"2020-05-17 11:16:40",NULL
164,NULL,7342,"ритъм",NULL,NULL,NULL
165,NULL,7246,"е",NULL,NULL,NULL
166,5,7109,"тургор",NULL,"2020-05-17 11:17:29",NULL
167,NULL,7087,"леко",NULL,NULL,NULL
168,NULL,6955,"нивото",NULL,NULL,NULL
169,NULL,6893,"сл",NULL,NULL,NULL
170,NULL,6824,"двете",NULL,NULL,NULL
171,NULL,6738,"болезненост",NULL,NULL,NULL
172,NULL,6640,"сухи",NULL,NULL,NULL
173,23,6631,"невр",NULL,"2020-05-17 11:20:23",NULL
174,4,6630,"глухи",NULL,"2020-05-17 11:21:03",NULL
175,15,6535,"снр",NULL,"2020-05-17 11:23:56",NULL
176,18,6468,"бледо",NULL,"2020-05-17 11:24:36",NULL
177,5,6416,"оцветка",NULL,"2020-05-17 11:25:22",NULL
178,NULL,6391,"запазено",NULL,NULL,NULL
179,NULL,6329,"норм",NULL,NULL,NULL
180,NULL,6310,"увредено",NULL,NULL,NULL
181,NULL,6282,"sr",NULL,NULL,NULL
182,NULL,6241,"дв",NULL,NULL,NULL
183,NULL,6174,"у",NULL,NULL,NULL
184,NULL,6157,"периф",NULL,NULL,NULL
185,NULL,6058,"слух",NULL,NULL,NULL
186,NULL,5955,"тегло",NULL,NULL,NULL
187,6,5946,"далак",NULL,"2020-05-17 11:25:51",NULL
188,NULL,5871,"м",NULL,NULL,NULL
189,NULL,5864,"лява",NULL,NULL,NULL
190,NULL,5650,"итм",NULL,NULL,NULL
191,NULL,5618,"психичен",NULL,NULL,NULL
192,NULL,5570,"сч",NULL,NULL,NULL
193,NULL,5438,"дясно",NULL,NULL,NULL
194,NULL,5423,"оперативен",NULL,NULL,NULL
195,NULL,5409,"хабитус",NULL,NULL,NULL
196,NULL,5308,"бледи",NULL,NULL,NULL
197,NULL,5297,"кг",NULL,NULL,NULL
198,NULL,5295,"дясна",NULL,NULL,NULL
199,NULL,5269,"патолог",NULL,NULL,NULL
200,NULL,5248,"ляво",NULL,NULL,NULL
201,NULL,5178,"чр",NULL,NULL,NULL
202,NULL,5171,"подбедриците",NULL,NULL,NULL
203,NULL,5156,"граници",NULL,NULL,NULL
204,NULL,5144,"акц",NULL,NULL,NULL
205,NULL,5090,"вид",NULL,NULL,NULL
206,NULL,5035,"симетричен",NULL,NULL,NULL
207,NULL,4916,"движения",NULL,NULL,NULL
208,NULL,4899,"акцентуиран",NULL,NULL,NULL
209,NULL,4878,"п",NULL,NULL,NULL
210,NULL,4872,"застой",NULL,NULL,NULL
211,NULL,4851,"цветоусещане",NULL,NULL,NULL
212,NULL,4816,"запазен",NULL,NULL,NULL
213,NULL,4764,"шум",NULL,NULL,NULL
214,NULL,4666,"ръст",NULL,NULL,NULL
215,NULL,4587,"т",NULL,NULL,NULL
216,NULL,4586,"сд",NULL,NULL,NULL
217,NULL,4546,"липсва",NULL,NULL,NULL
218,NULL,4544,"съдове",NULL,NULL,NULL
219,NULL,4525,"неувеличена",NULL,NULL,NULL
220,NULL,4451,"отрицателно",NULL,NULL,NULL
221,5,4437,"розова",NULL,"2020-05-17 11:28:44",NULL
222,NULL,4347,"пер",NULL,NULL,NULL
223,1,4320,"дих",NULL,"2020-05-17 11:29:46",NULL
224,NULL,4270,"намалена",NULL,NULL,NULL
225,NULL,4253,"температура",NULL,NULL,NULL
226,NULL,4224,"ребрената",NULL,NULL,NULL
227,NULL,4211,"тип",NULL,NULL,NULL
228,NULL,4181,"обложен",NULL,NULL,NULL
229,NULL,4158,"кр",NULL,NULL,NULL
230,NULL,4146,"честота",NULL,NULL,NULL
231,NULL,4143,"изострено",NULL,NULL,NULL
232,NULL,4061,"над",NULL,NULL,NULL
233,NULL,4059,"неувел",NULL,NULL,NULL
234,NULL,4011,"свиркащи",NULL,NULL,NULL
235,NULL,3970,"диш",NULL,NULL,NULL
236,NULL,3967,"нормостеничен",NULL,NULL,NULL
237,NULL,3909,"под",NULL,NULL,NULL
238,NULL,3907,"шумова",NULL,NULL,NULL
239,NULL,3906,"липсват",NULL,NULL,NULL
240,NULL,3893,"острота",NULL,NULL,NULL
241,NULL,3794,"място",NULL,NULL,NULL
242,NULL,3788,"добре",NULL,NULL,NULL
243,NULL,3743,"увеличена",NULL,NULL,NULL
244,NULL,3711,"артерии",NULL,NULL,NULL
245,NULL,3684,"млечни",NULL,NULL,NULL
246,NULL,3661,"хр",NULL,NULL,NULL
247,NULL,3647,"тонус",NULL,NULL,NULL
248,NULL,3588,"ромберг",NULL,NULL,NULL
249,NULL,3562,"време",NULL,NULL,NULL
250,NULL,3531,"синусов",NULL,NULL,NULL
251,NULL,3523,"псих",NULL,NULL,NULL
252,NULL,3515,"мрд",NULL,NULL,NULL
253,NULL,3503,"оттоци",NULL,NULL,NULL
254,NULL,3485,"отслабени",NULL,NULL,NULL
255,NULL,3459,"възрастта",NULL,NULL,NULL
256,NULL,3449,"афебрилен",NULL,NULL,NULL
257,NULL,3418,"чиста",NULL,NULL,NULL
258,24,3387,"стави",NULL,"2020-05-17 13:47:23",NULL
259,NULL,3386,"s",NULL,NULL,NULL
260,5,3386,"бледорозови",NULL,"2020-05-17 13:48:05",NULL
261,NULL,3385,"хипестезия",NULL,NULL,NULL
262,NULL,3380,"бледа",NULL,NULL,NULL
263,NULL,3313,"дихателна",NULL,NULL,NULL
264,NULL,3297,"педис",NULL,NULL,NULL
265,NULL,3292,"визус",NULL,NULL,NULL
266,NULL,3255,"пол",NULL,NULL,NULL
267,NULL,3252,"min",NULL,NULL,NULL
268,16,3239,"гръден",NULL,"2020-05-17 13:52:30",NULL
269,NULL,3222,"органи",NULL,NULL,NULL
270,NULL,3221,"ние",NULL,NULL,NULL
271,NULL,3209,"лиг",NULL,NULL,NULL
272,2,3187,"коремни",NULL,"2020-05-17 13:52:18",NULL
273,NULL,3162,"et",NULL,NULL,NULL
274,NULL,3121,"vod",NULL,NULL,NULL
275,NULL,3109,"vos",NULL,NULL,NULL
276,NULL,3105,"походка",NULL,NULL,NULL
277,NULL,3099,"изменения",NULL,NULL,NULL
278,NULL,3096,"влажни",NULL,NULL,NULL
279,NULL,3050,"син",NULL,NULL,NULL
280,NULL,3021,"аритмична",NULL,NULL,NULL
281,NULL,3001,"афебрилна",NULL,NULL,NULL
282,NULL,2969,"оток",NULL,NULL,NULL
283,NULL,2946,"разширени",NULL,NULL,NULL
284,NULL,2906,"ориентиран",NULL,NULL,NULL
285,NULL,2843,"добра",NULL,NULL,NULL
286,NULL,2832,"талия",NULL,NULL,NULL
287,NULL,2822,"ср",NULL,NULL,NULL
288,NULL,2810,"подбедрици",NULL,NULL,NULL
289,NULL,2806,"съст",NULL,NULL,NULL
290,NULL,2792,"увел",NULL,NULL,NULL
291,NULL,2781,"крайниците",NULL,NULL,NULL
292,NULL,2774,"нормофр",NULL,NULL,NULL
293,NULL,2765,"стъпало",NULL,NULL,NULL
294,NULL,2764,"до",NULL,NULL,NULL
295,NULL,2759,"меки",NULL,NULL,NULL
296,14,2712,"hepar",NULL,"2020-05-17 14:06:58",NULL
297,NULL,2656,"епигастриума",NULL,NULL,NULL
298,20,2639,"зрителна",NULL,"2020-05-17 14:04:27",NULL
299,NULL,2600,"синдром",NULL,NULL,NULL
300,NULL,2596,"тонзили",NULL,NULL,NULL
301,NULL,2569,"консистенция",NULL,NULL,NULL
302,NULL,2559,"увеличен",NULL,NULL,NULL
303,NULL,2532,"неувеличен",NULL,NULL,NULL
304,NULL,2508,"артрозни",NULL,NULL,NULL
305,NULL,2493,"видима",NULL,NULL,NULL
306,NULL,2473,"н",NULL,NULL,NULL
307,NULL,2466,"сукк",NULL,NULL,NULL
308,NULL,2464,"ограничени",NULL,NULL,NULL
309,NULL,2450,"изразена",NULL,NULL,NULL
310,NULL,2436,"очен",NULL,NULL,NULL
311,NULL,2427,"съдова",NULL,NULL,NULL
312,NULL,2414,"върха",NULL,NULL,NULL
313,NULL,2402,"гръдния",NULL,NULL,NULL
314,NULL,2395,"болезнени",NULL,NULL,NULL
315,NULL,2389,"адекватен",NULL,NULL,NULL
316,NULL,2374,"правилна",NULL,NULL,NULL
317,NULL,2370,"диабетно",NULL,NULL,NULL
318,NULL,2370,"сърдечно",NULL,NULL,NULL
319,NULL,2355,"симптоматика",NULL,NULL,NULL
320,NULL,2353,"след",NULL,NULL,NULL
321,NULL,2335,"ребрена",NULL,NULL,NULL
322,NULL,2319,"нс",NULL,NULL,NULL
323,NULL,2298,"об",NULL,NULL,NULL
324,NULL,2281,"дорзалис",NULL,NULL,NULL
325,NULL,2278,"областта",NULL,NULL,NULL
326,NULL,2272,"установяват",NULL,NULL,NULL
327,NULL,2245,"дишането",NULL,NULL,NULL
328,NULL,2233,"контролира",NULL,NULL,NULL
329,NULL,2233,"налягане",NULL,NULL,NULL
330,NULL,2230,"единични",NULL,NULL,NULL
331,NULL,2191,"леки",NULL,NULL,NULL
332,NULL,2190,"около",NULL,NULL,NULL
333,NULL,2177,"небол",NULL,NULL,NULL
334,NULL,2163,"хода",NULL,NULL,NULL
335,NULL,2156,"глуховати",NULL,NULL,NULL
336,NULL,2155,"щ",NULL,NULL,NULL
337,26,2153,"гърда",NULL,"2020-05-17 14:08:42",NULL
338,NULL,2125,"подвижност",NULL,NULL,NULL
339,NULL,2120,"симетрични",NULL,NULL,NULL
340,NULL,2119,"живи",NULL,NULL,NULL
341,NULL,2114,"перк",NULL,NULL,NULL
342,NULL,2095,"добавени",NULL,NULL,NULL
343,NULL,2088,"възраст",NULL,NULL,NULL
344,NULL,2071,"промяна",NULL,NULL,NULL
345,NULL,2070,"ляв",NULL,NULL,NULL
346,NULL,2069,"грубо",NULL,NULL,NULL
347,NULL,2061,"лв",NULL,NULL,NULL
348,NULL,2049,"психически",NULL,NULL,NULL
349,NULL,2044,"проби",NULL,NULL,NULL
350,NULL,2034,"мамектомия",NULL,NULL,NULL
351,NULL,2034,"парези",NULL,NULL,NULL
352,NULL,2033,"приглушени",NULL,NULL,NULL
353,NULL,2016,"рит",NULL,NULL,NULL
354,NULL,2015,"lien",NULL,NULL,NULL
355,NULL,2004,"ри",NULL,NULL,NULL
356,NULL,1984,"претибиални",NULL,NULL,NULL
357,NULL,1982,"развитие",NULL,NULL,NULL
358,NULL,1963,"намален",NULL,NULL,NULL
359,NULL,1963,"отсл",NULL,NULL,NULL
360,NULL,1960,"мм",NULL,NULL,NULL
361,NULL,1948,"участие",NULL,NULL,NULL
362,NULL,1934,"наличие",NULL,NULL,NULL
363,3,1927,"краиници",NULL,"2020-05-17 14:09:25",NULL
364,NULL,1894,"варици",NULL,NULL,NULL
365,NULL,1877,"нервна",NULL,NULL,NULL
366,NULL,1869,"ци",NULL,NULL,NULL
367,NULL,1865,"удължен",NULL,NULL,NULL
368,NULL,1860,"половини",NULL,NULL,NULL
369,NULL,1830,"коленни",NULL,NULL,NULL
370,NULL,1823,"обем",NULL,NULL,NULL
371,NULL,1820,"силно",NULL,NULL,NULL
372,NULL,1813,"арт",NULL,NULL,NULL
373,NULL,1807,"измерване",NULL,NULL,NULL
374,NULL,1801,"вод",NULL,NULL,NULL
375,NULL,1799,"пикочо",NULL,NULL,NULL
376,NULL,1786,"размери",NULL,NULL,NULL
377,NULL,1785,"отпадна",NULL,NULL,NULL
378,NULL,1779,"вд",NULL,NULL,NULL
379,NULL,1777,"умерено",NULL,NULL,NULL
380,NULL,1762,"вос",NULL,NULL,NULL
381,NULL,1758,"уголемени",NULL,NULL,NULL
382,NULL,1751,"дребни",NULL,NULL,NULL
383,NULL,1737,"ос",NULL,NULL,NULL
384,NULL,1735,"ребр",NULL,NULL,NULL
385,11,1730,"щж",NULL,"2020-05-17 14:11:12",NULL
386,NULL,1726,"област",NULL,NULL,NULL
387,24,1724,"става",NULL,"2020-05-17 14:10:35",NULL
388,NULL,1721,"дълбока",NULL,NULL,NULL
389,NULL,1713,"патология",NULL,NULL,NULL
390,NULL,1711,"има",NULL,NULL,NULL
391,NULL,1698,"пмт",NULL,NULL,NULL
392,NULL,1697,"експириум",NULL,NULL,NULL
393,NULL,1688,"подвижен",NULL,NULL,NULL
394,NULL,1687,"v",NULL,NULL,NULL
395,NULL,1687,"корекция",NULL,NULL,NULL
396,NULL,1686,"вен",NULL,NULL,NULL
397,NULL,1672,"опипват",NULL,NULL,NULL
398,NULL,1672,"усет",NULL,NULL,NULL
399,NULL,1663,"основи",NULL,NULL,NULL
400,NULL,1651,"хемипареза",NULL,NULL,NULL
401,NULL,1650,"контактен",NULL,NULL,NULL
402,NULL,1649,"неуголемени",NULL,NULL,NULL
403,NULL,1643,"застойни",NULL,NULL,NULL
404,NULL,1619,"психично",NULL,NULL,NULL
405,NULL,1603,"формации",NULL,NULL,NULL
406,NULL,1597,"долните",NULL,NULL,NULL
407,NULL,1589,"дълбочина",NULL,NULL,NULL
408,NULL,1578,"двигателен",NULL,NULL,NULL
409,NULL,1573,"патол",NULL,NULL,NULL
410,NULL,1571,"отговаряща",NULL,NULL,NULL
411,NULL,1562,"палпат",NULL,NULL,NULL
412,NULL,1537,"деиност",NULL,NULL,NULL
413,NULL,1535,"renalis",NULL,NULL,NULL
414,NULL,1522,"координация",NULL,NULL,NULL
415,NULL,1517,"кмс",NULL,NULL,NULL
416,NULL,1513,"ерб",NULL,NULL,NULL
417,NULL,1507,"правилно",NULL,NULL,NULL
418,NULL,1506,"тазови",NULL,NULL,NULL
419,NULL,1497,"бабински",NULL,NULL,NULL
420,NULL,1488,"ниво",NULL,NULL,NULL
421,NULL,1476,"симфизата",NULL,NULL,NULL
422,NULL,1469,"повече",NULL,NULL,NULL
423,NULL,1465,"mmhg",NULL,NULL,NULL
424,NULL,1465,"suc",NULL,NULL,NULL
425,NULL,1460,"аа",NULL,NULL,NULL
426,28,1448,"ръка",NULL,"2020-05-17 14:12:25",NULL
427,NULL,1448,"ту",NULL,NULL,NULL
428,NULL,1439,"издишване",NULL,NULL,NULL
429,NULL,1438,"ао",NULL,NULL,NULL
430,NULL,1437,"десен",NULL,NULL,NULL
431,NULL,1433,"a",NULL,NULL,NULL
432,NULL,1432,"ахилови",NULL,NULL,NULL
433,NULL,1425,"кръвно",NULL,NULL,NULL
434,NULL,1424,"основите",NULL,NULL,NULL
435,NULL,1421,"ориентирана",NULL,NULL,NULL
436,NULL,1420,"сухожилни",NULL,NULL,NULL
437,NULL,1418,"ед",NULL,NULL,NULL
438,4,1418,"сър",NULL,"2020-05-17 14:12:47",NULL
439,NULL,1412,"резервоари",NULL,NULL,NULL
440,NULL,1410,"полово",NULL,NULL,NULL
441,NULL,1407,"екстрасистоли",NULL,NULL,NULL
442,NULL,1405,"лека",NULL,NULL,NULL
443,NULL,1395,"зачервено",NULL,NULL,NULL
444,NULL,1390,"стълб",NULL,NULL,NULL
445,NULL,1383,"големина",NULL,NULL,NULL
446,NULL,1381,"сонорен",NULL,NULL,NULL
447,NULL,1376,"еднакво",NULL,NULL,NULL
448,30,1362,"сливици",NULL,"2020-05-17 14:13:38",NULL
449,NULL,1352,"пр",NULL,NULL,NULL
450,NULL,1351,"жена",NULL,NULL,NULL
451,NULL,1339,"дистална",NULL,NULL,NULL
452,NULL,1337,"левостранна",NULL,NULL,NULL
453,NULL,1322,"аномалии",NULL,NULL,NULL
454,NULL,1321,"дистален",NULL,NULL,NULL
455,NULL,1321,"подребрие",NULL,NULL,NULL
456,NULL,1315,"действителната",NULL,NULL,NULL
457,NULL,1314,"невролог",NULL,NULL,NULL
458,NULL,1312,"неврол",NULL,NULL,NULL
459,NULL,1306,"вл",NULL,NULL,NULL
460,31,1302,"нос",NULL,"2020-05-17 14:14:13",NULL
461,NULL,1296,"очи",NULL,NULL,NULL
462,NULL,1285,"ориент",NULL,NULL,NULL
463,NULL,1279,"са",NULL,NULL,NULL
464,NULL,1277,"тремор",NULL,NULL,NULL
465,NULL,1277,"удължено",NULL,NULL,NULL
466,NULL,1256,"вземат",NULL,NULL,NULL
467,NULL,1240,"зап",NULL,NULL,NULL
468,NULL,1229,"мускулна",NULL,NULL,NULL
469,NULL,1227,"лек",NULL,NULL,NULL
470,NULL,1227,"мануално",NULL,NULL,NULL
471,NULL,1215,"обл",NULL,NULL,NULL
472,NULL,1205,"трофични",NULL,NULL,NULL
473,NULL,1203,"оточни",NULL,NULL,NULL
474,NULL,1202,"конфигурация",NULL,NULL,NULL
475,NULL,1201,"респираторно",NULL,NULL,NULL
476,NULL,1200,"ало",NULL,NULL,NULL
477,NULL,1200,"изсл",NULL,NULL,NULL
